date,dom_pax,int_pax,pax,dom_flt,int_flt,flt,dom_rpm,int_rpm,rpm,dom_asm,int_asm,asm,dom_lf,int_lf,lf,fuel_spot_price,transformed_price,monthly_nomial_gdp,monthly_real_gdp
2006-02-01,0.8576126217314961,0.8273876046695827,0.8505748276575167,0.8449413566583228,0.8896413642868413,0.8525171579445026,0.8299607393863644,0.8183521998093384,0.821876817153834,0.7058404803381162,0.8060166981732255,0.7238158320297305,0.8206062182906206,0.7415899834062455,0.8142344974107025,1.754,0.5864593641029985,13569.264633758,16307.7044499049
2006-03-01,0.9212548879464313,0.8795788563149634,0.9131024310261671,0.9444747191508149,0.9420104796111697,0.9485928179947951,0.893959019522514,0.8770538791068714,0.8852891537666041,0.8083176985260003,0.8540723365590983,0.8099798425792528,0.8890334330688177,0.8711721224920804,0.89576417474439,1.875,0.6594521333738246,13710.7692831251,16440.275158522
2006-04-01,0.9080641306077792,0.8738194454334924,0.9008906562080652,0.918719648359902,0.9331423340316953,0.9244392977935423,0.882580757368129,0.8719361550301965,0.8757626870905639,0.7816608213823457,0.8523455969674485,0.7928163988486432,0.8892936125926891,0.8500527983104541,0.8908511485858451,2.074,0.7712308214352881,13694.9542107916,16369.9261699498
2006-05-01,0.9152019643191522,0.8725691504742548,0.9068547818546557,0.9446966177496101,0.9338643225249621,0.9475781981685465,0.8856373238458328,0.8815827144830455,0.8811063686687604,0.7973572206098538,0.8644042324442385,0.8083471049158018,0.8762846363991155,0.8565394478805252,0.8827512946487851,2.07,0.7690755113320982,13782.6221682835,16416.9635799346
2006-06-01,0.9265213868839917,0.8916230385721766,0.9194371937567007,0.9414722673346887,0.9478455407283852,0.9468196801357074,0.9027190434844288,0.9024652356512872,0.8999000473376926,0.8019793098309052,0.8741902370274532,0.8160680884093878,0.9304019773643815,0.934680947352542,0.9417076085513211,2.081,0.7749941386493132,13782.6956208675,16403.640588345
2006-07-01,0.934380053629261,0.9114909760966974,0.9292716282337361,0.9684272257883251,0.97138343717176,0.9742933526123974,0.9156476540895211,0.9156787324281259,0.913251286473165,0.828742122290155,0.8919662704586866,0.8412477105590259,0.9357356576037466,0.9392065168200333,0.9467534192006374,2.154,0.8136129606444354,13791.1732028304,16365.7816719512
2006-08-01,0.9213453534523355,0.8978942705195907,0.9159823022478601,0.9803327056823168,0.9639935465276315,0.9836769786161597,0.9019969676928739,0.9032048604039451,0.8996735374185869,0.8311459784720832,0.8881769379296784,0.8407568235639804,0.8827891244959023,0.8838437170010559,0.894170760855132,2.133,0.802618707002341,13885.2575586897,16421.5176306685
2006-09-01,0.8739908728233372,0.8454000394338181,0.8673336854935094,0.9235088788796357,0.9014793738273337,0.9240916951832006,0.8454898601772847,0.870056099484041,0.8500329816056231,0.7636087123731485,0.8570867428007594,0.7842471764667298,0.7902953037595942,0.8224468245587572,0.8110476696321869,1.81,0.6207556143284719,13934.1332384884,16477.1011518715
2006-10-01,0.9039805174957154,0.8486368715515575,0.8937519425968583,0.9482709474783899,0.9037169411658459,0.9465054844047227,0.8722072634431424,0.8678640470037791,0.8672884107518755,0.791866614096616,0.8581505200826234,0.8019022599773553,0.8381683361519447,0.8070598883692867,0.8426503784357987,1.739,0.5771151745328361,13967.0702278329,16489.3941113638
2006-11-01,0.8970274763962589,0.844800719584573,0.8871824060746905,0.9170522386526407,0.8964029665738451,0.9176280632826064,0.8646885273797817,0.8511684910641764,0.8565833427364078,0.7698845751726715,0.8312036342013842,0.7753460231143894,0.8448029140106674,0.818373812038015,0.8502190944097728,1.733,0.5733583339909765,14059.5206217931,16600.8156444272
2006-12-01,0.8952411271796619,0.8700199968450653,0.88930203137184,0.9281726612773173,0.9354279360242073,0.9331572399899173,0.8702883269450084,0.8721796801699928,0.8674500795056668,0.7959593204972926,0.8590858326139266,0.804857858507928,0.8259398985299857,0.8262181324483332,0.8380029212587968,1.81,0.6207556143284719,14092.0891503713,16597.5958055805
2007-01-01,0.8744357284958628,0.8680104664597694,0.871203109993707,0.9271737822987518,0.9388009403853643,0.93278440983641,0.8504099749034584,0.8689479137368408,0.852917233827351,0.7897545884720536,0.862437613587625,0.8027520704793663,0.7701313906595553,0.7972544878563886,0.7898021511087505,1.654,0.5228344240081054,14134.0692564945,16578.4685852406
2007-02-01,0.8603058908814845,0.8413748400218668,0.8549579706792843,0.8536132928347016,0.9014850563311056,0.8619864856855148,0.8324570389452717,0.836455356548957,0.8295154342297968,0.715576440858019,0.8281758329185784,0.7406294858385145,0.8150123585273839,0.7544124302308041,0.8126410835214447,1.74,0.5777402446392473,14286.5290405871,16680.7833866791
2007-03-01,0.9262481411318815,0.8922747378394185,0.9193022687941612,0.9501123942221312,0.9525196309533803,0.9551799724785965,0.8987870074634356,0.8919881781428662,0.8936102078225261,0.8180252816113462,0.8721141201413012,0.8247417854430719,0.8912449590217251,0.8838437170010559,0.9004116319213916,1.846,0.6423305341273406,14226.3547028364,16577.9033128558
2007-04-01,0.9165447382703888,0.8799452498781664,0.9091019156540661,0.9322145490715013,0.9408573551206016,0.9375595863331778,0.8884770557178294,0.8815481754249239,0.8830303148819025,0.795539250928428,0.8674709923200288,0.8087819238541378,0.8890334330688177,0.8447729672650478,0.8892577346965874,2.036,0.7506112372836521,14362.6399203013,16711.3424943213
2007-05-01,0.9264515396837023,0.8802869593315816,0.917687630651228,0.9617092833966012,0.9428867938770438,0.9640093117142712,0.8959489764309492,0.891935151547842,0.8916638298654309,0.8140765184357637,0.8814614854406742,0.8270558257218337,0.8872121764017173,0.8480917182078748,0.88859381224273,2.044,0.7549791866799712,14401.0150302106,16701.7406567628
2007-06-01,0.9376608464071579,0.9009716549674045,0.9304218094402597,0.9516383188788531,0.9546307937925347,0.9568539534560152,0.9129595135842496,0.9137468826661728,0.9107628811497328,0.8123725233687473,0.8933623400445798,0.8321868955898815,0.9518667880837779,0.9224619097903154,0.9543221351746115,2.099,0.7846221312384705,14442.5910494345,16728.7269872312
2007-07-01,0.9472853160317571,0.9207602580365535,0.9417582935642006,0.9779629627206177,0.9770913710167828,0.9836081898325695,0.9267763690254895,0.9277887397438742,0.9250191296045909,0.8443664601919458,0.9097049279632472,0.8598056308104418,0.9521269676076494,0.9373962890330368,0.958305669897756,2.137,0.8047199124216232,14422.4354251201,16669.3569292053
